txn_id,user_id,raw_description,amount,currency,timestamp,channel,counterparty_ref,txn_type,true_merchant_id,true_merchant_name,true_category,true_intent,is_ambiguous,is_in_directory,is_recurring_instance,corruption_ops,expected_counterparty_id,mark_for_correction,is_golden
T000030,U0046,KMC5,-26.43,SAR,2026-01-02T08:04:43,pos,,purchase,M0395,Khobar Medical Center 54,health,,False,False,False,"[""abbreviate""]",,False,True
T000057,U0106,GIG PLATFORM PAYOUT,4919.16,SAR,2025-10-28T11:06:00,transfer,CP-U0106-GIG_PLATFORM,income,,,income,,False,False,False,"[""known_template""]",gig_platform,False,True
T000267,U0048,APPLEPAY *هنقرستيشن,-76.15,SAR,2026-01-13T14:14:33,pos,,purchase,M0346,HungerStation,food,,False,True,False,"[""arabic_base"", ""prefix_inject""]",,False,True
T000510,U0096,ATM WITHDRAWAL JED,-399.95,SAR,2025-08-28T16:48:26,atm,,cash,,,cash,,False,False,False,"[""city_code""]",,False,True
T000573,U0137,SP*YANBUTRA,-469.66,USD,2026-06-04T17:38:49,pos,,purchase,M0043,Yanbu Travel Agency,travel,,False,True,False,"[""known_pattern""]",,False,True
T000594,U0037,POS مركز تَدريب الدمام JED,-2443.94,SAR,2026-03-13T15:28:30,ecom,,purchase,M0459,Dmm Training Center,education,,False,False,False,"[""arabic_base"", ""arabic_noise"", ""prefix_inject"", ""city_code""]",,False,True
T000797,U0078,الدريس,-254.91,SAR,2026-06-23T15:51:42,pos,,purchase,M0039,Aldrees,transport,,False,True,False,"[""arabic_base""]",,False,True
T000850,U0049,STC PAY TRANSFER,-2550,SAR,2026-05-26T18:44:00,wallet,CP-U0049-LANDLORD,transfer,,,bills,bill,True,False,True,"[""known_template""]",landlord,False,True
T001183,U0086,OTHAIM,-37.86,SAR,2026-01-13T19:46:19,pos,,purchase,M0136,Othaim,groceries,,False,True,False,"[""known_pattern""]",,False,True
T001389,U0084,WALLET TRANSFER REF408507,-159.82,SAR,2025-12-30T23:21:13,transfer,CP-U0084-ONE-8522e,transfer,,,food,personal,True,False,False,"[""known_template"", ""id_inject""]",unknown,False,True
T001511,U0080,RN5S7HX,-258.57,SAR,2026-05-19T10:38:23,ecom,,purchase,,,,,False,False,False,"[""garbage""]",,False,True
T001779,U0146,BUSINESS REVENUE TRANSFER,27008.63,SAR,2026-05-22T08:25:00,transfer,CP-U0146-SELF,income,,,income,,False,False,False,"[""known_template""]",self,False,True
T001921,U0056,PS SA,-5.21,USD,2026-01-07T22:27:07,ecom,,purchase,M0381,PlayStation Store,entertainment,,False,True,False,"[""known_pattern"", ""city_code"", ""truncate""]",,False,True
T002036,U0136,FAMILY SUPPORT TRANSFER,1833.28,SAR,2026-04-12T12:07:00,transfer,CP-U0136-FAMILY,income,,,income,,False,False,True,"[""known_template""]",family,False,True
T002092,U0080,STC PAY TRANSFER,9734.48,SAR,2025-09-27T10:54:00,wallet,CP-U0080-EMPLOYER2,transfer,,,income,salary,True,False,True,"[""known_template""]",employer,False,True
T002305,U0113,GIG PLATFORM PAYOUT,1493.92,SAR,2025-12-23T10:59:00,transfer,CP-U0113-GIG_PLATFORM,income,,,income,,False,False,False,"[""known_template""]",gig_platform,False,True
T002333,U0013,STC,-207.51,SAR,2025-12-08T12:34:20,ecom,,purchase,M0242,STC,telecom,,False,True,False,"[""known_pattern""]",,False,True
T002406,U0108,MADA TRANSFER,-2600,SAR,2026-03-26T16:44:00,transfer,CP-U0108-LANDLORD,transfer,,,bills,bill,True,False,True,"[""known_template""]",landlord,False,True
T002532,U0079,HM,-206.98,SAR,2026-05-11T10:10:50,ecom,,purchase,M0270,H&M,shopping,,False,False,False,"[""known_pattern""]",,False,True
T002641,U0094,POS كِريـم,-78.09,SAR,2026-02-26T10:00:11,pos,,purchase,M0349,Careem,transport,,False,True,False,"[""arabic_base"", ""arabic_noise"", ""prefix_inject""]",,False,True
T003129,U0128,STC PAY TRANSFER REF637677,-118.93,SAR,2026-04-08T22:05:33,transfer,CP-U0128-ONE-90af2,transfer,,,food,personal,True,False,False,"[""known_template"", ""id_inject""]",unknown,False,True
T003161,U0149,MMS JED,-224.23,SAR,2026-03-06T15:51:00,sadad,,purchase,M0190,Mak Mobile Shop,telecom,,False,True,True,"[""abbreviate"", ""city_code""]",,False,True
T003339,U0004,SP *MRSOOL*مطعم إلدمام ٨٢٢٩,-109.45,SAR,2025-10-13T11:59:12,ecom,,purchase,M0431,Dmm Restaurant,food,,False,True,False,"[""arabic_base"", ""arabic_noise"", ""aggregator_wrap"", ""prefix_inject"", ""id_inject""]",,False,True
